time,CH1
   0.000000,  -0.400000
   0.000250,  -0.120000
   0.000500,  -0.120000
   0.000750,   0.160000
   0.001000,   0.160000
   0.001250,   0.280000
   0.001500,   0.400000
   0.001750,   0.640000
   0.002000,   0.640000
   0.002250,   0.880000
   0.002500,   0.880000
   0.002750,   0.960000
   0.003000,   1.120000
   0.003250,   1.120000
   0.003500,   1.160000
   0.003750,   1.240000
   0.004000,   1.280000
   0.004250,   1.320000
   0.004500,   1.360000
   0.004750,   1.360000
   0.005000,   1.400000
   0.005250,   1.400000
   0.005500,   1.400000
   0.005750,   1.360000
   0.006000,   1.360000
   0.006250,   1.320000
   0.006500,   1.200000
   0.006750,   1.200000
   0.007000,   1.040000
   0.007250,   1.040000
   0.007500,   0.960000
   0.007750,   0.800000
   0.008000,   0.800000
   0.008250,   0.560000
   0.008500,   0.560000
   0.008750,   0.440000
   0.009000,   0.160000
   0.009250,   0.160000
   0.009500,  -0.080000
   0.009750,  -0.080000
   0.010000,  -0.240000
   0.010250,  -0.520000
   0.010500,  -0.520000
   0.010750,  -0.840000
   0.011000,  -0.840000
   0.011250,  -1.000000
   0.011500,  -1.320000
   0.011750,  -1.320000
   0.012000,  -1.640000
   0.012250,  -1.640000
   0.012500,  -1.800000
   0.012750,  -2.080000
   0.013000,  -2.080000
   0.013250,  -2.360000
   0.013500,  -2.360000
   0.013750,  -2.480000
   0.014000,  -2.720000
   0.014250,  -2.720000
   0.014500,  -2.960000
   0.014750,  -2.960000
   0.015000,  -3.040000
   0.015250,  -3.240000
   0.015500,  -3.240000
   0.015750,  -3.360000
   0.016000,  -3.360000
   0.016250,  -3.440000
   0.016500,  -3.520000
   0.016750,  -3.520000
   0.017000,  -3.560000
   0.017250,  -3.560000
   0.017500,  -3.600000
   0.017750,  -3.560000
   0.018000,  -3.560000
   0.018250,  -3.520000
   0.018500,  -3.520000
   0.018750,  -3.480000
   0.019000,  -3.400000
   0.019250,  -3.400000
   0.019500,  -3.240000
   0.019750,  -3.240000
   0.020000,  -3.200000
   0.020250,  -2.960000
   0.020500,  -2.960000
   0.020750,  -2.760000
   0.021000,  -2.760000
   0.021250,  -2.640000
   0.021500,  -2.400000
   0.021750,  -2.400000
   0.022000,  -2.120000
   0.022250,  -2.120000
   0.022500,  -1.960000
   0.022750,  -1.680000
   0.023000,  -1.680000
   0.023250,  -1.360000
   0.023500,  -1.360000
   0.023750,  -1.200000
   0.024000,  -0.880000
   0.024250,  -0.880000
   0.024500,  -0.560000
   0.024750,  -0.560000
   0.025000,  -0.440000
   0.025250,  -0.120000
   0.025500,  -0.120000
   0.025750,   0.160000
   0.026000,   0.160000
   0.026250,   0.280000
   0.026500,   0.560000
   0.026750,   0.560000
   0.027000,   0.760000
   0.027250,   0.760000
   0.027500,   0.880000
   0.027750,   1.040000
   0.028000,   1.040000
   0.028250,   1.200000
   0.028500,   1.200000
   0.028750,   1.240000
   0.029000,   1.320000
   0.029250,   1.320000
   0.029500,   1.360000
   0.029750,   1.360000
   0.030000,   1.400000
   0.030250,   1.400000
   0.030500,   1.400000
   0.030750,   1.360000
   0.031000,   1.360000
   0.031250,   1.320000
   0.031500,   1.200000
   0.031750,   1.200000
   0.032000,   1.040000
   0.032250,   1.040000
   0.032500,   0.960000
   0.032750,   0.800000
   0.033000,   0.800000
   0.033250,   0.560000
   0.033500,   0.560000
   0.033750,   0.440000
   0.034000,   0.160000
   0.034250,   0.160000
   0.034500,  -0.120000
   0.034750,  -0.120000
   0.035000,  -0.240000
   0.035250,  -0.560000
   0.035500,  -0.560000
   0.035750,  -0.840000
   0.036000,  -0.840000
   0.036250,  -1.000000
   0.036500,  -1.320000
   0.036750,  -1.320000
   0.037000,  -1.640000
   0.037250,  -1.640000
   0.037500,  -1.800000
   0.037750,  -2.080000
   0.038000,  -2.080000
   0.038250,  -2.360000
   0.038500,  -2.360000
   0.038750,  -2.480000
   0.039000,  -2.720000
   0.039250,  -2.720000
   0.039500,  -2.960000
   0.039750,  -2.960000
   0.040000,  -3.080000
   0.040250,  -3.200000
   0.040500,  -3.200000
   0.040750,  -3.360000
   0.041000,  -3.360000
   0.041250,  -3.440000
   0.041500,  -3.520000
   0.041750,  -3.520000
   0.042000,  -3.560000
   0.042250,  -3.560000
   0.042500,  -3.600000
   0.042750,  -3.600000
   0.043000,  -3.600000
   0.043250,  -3.520000
   0.043500,  -3.520000
   0.043750,  -3.480000
   0.044000,  -3.400000
   0.044250,  -3.400000
   0.044500,  -3.240000
   0.044750,  -3.240000
   0.045000,  -3.160000
   0.045250,  -2.960000
   0.045500,  -2.960000
   0.045750,  -2.760000
   0.046000,  -2.760000
   0.046250,  -2.640000
   0.046500,  -2.400000
   0.046750,  -2.400000
   0.047000,  -2.080000
   0.047250,  -2.080000
   0.047500,  -1.960000
   0.047750,  -1.680000
   0.048000,  -1.680000
   0.048250,  -1.360000
   0.048500,  -1.360000
   0.048750,  -1.200000
   0.049000,  -0.880000
   0.049250,  -0.880000
   0.049500,  -0.560000
   0.049750,  -0.560000
   0.050000,  -0.400000
   0.050250,  -0.120000
   0.050500,  -0.120000
   0.050750,   0.160000
   0.051000,   0.160000
   0.051250,   0.280000
   0.051500,   0.520000
   0.051750,   0.520000
   0.052000,   0.760000
   0.052250,   0.760000
   0.052500,   0.840000
   0.052750,   1.040000
   0.053000,   1.040000
   0.053250,   1.200000
   0.053500,   1.200000
   0.053750,   1.240000
   0.054000,   1.320000
   0.054250,   1.320000
   0.054500,   1.400000
   0.054750,   1.400000
   0.055000,   1.400000
   0.055250,   1.400000
   0.055500,   1.400000
   0.055750,   1.360000
   0.056000,   1.360000
   0.056250,   1.320000
   0.056500,   1.200000
   0.056750,   1.200000
   0.057000,   1.040000
   0.057250,   1.040000
   0.057500,   0.960000
   0.057750,   0.800000
   0.058000,   0.800000
   0.058250,   0.560000
   0.058500,   0.560000
   0.058750,   0.440000
   0.059000,   0.200000
   0.059250,   0.200000
   0.059500,  -0.080000
   0.059750,  -0.080000
   0.060000,  -0.240000
   0.060250,  -0.560000
   0.060500,  -0.560000
   0.060750,  -0.840000
   0.061000,  -0.840000
   0.061250,  -1.000000
   0.061500,  -1.320000
   0.061750,  -1.320000
   0.062000,  -1.640000
   0.062250,  -1.640000
   0.062500,  -1.800000
   0.062750,  -2.080000
   0.063000,  -2.080000
   0.063250,  -2.360000
   0.063500,  -2.360000
   0.063750,  -2.480000
   0.064000,  -2.720000
   0.064250,  -2.720000
   0.064500,  -2.960000
   0.064750,  -2.960000
   0.065000,  -3.080000
   0.065250,  -3.240000
   0.065500,  -3.240000
   0.065750,  -3.360000
   0.066000,  -3.360000
   0.066250,  -3.440000
   0.066500,  -3.520000
   0.066750,  -3.520000
   0.067000,  -3.560000
   0.067250,  -3.560000
   0.067500,  -3.600000
   0.067750,  -3.560000
   0.068000,  -3.560000
   0.068250,  -3.520000
   0.068500,  -3.520000
   0.068750,  -3.480000
   0.069000,  -3.400000
   0.069250,  -3.400000
   0.069500,  -3.240000
   0.069750,  -3.240000
   0.070000,  -3.160000
   0.070250,  -3.000000
   0.070500,  -3.000000
   0.070750,  -2.760000
   0.071000,  -2.760000
   0.071250,  -2.640000
   0.071500,  -2.400000
   0.071750,  -2.400000
   0.072000,  -2.080000
   0.072250,  -2.080000
   0.072500,  -1.960000
   0.072750,  -1.640000
   0.073000,  -1.640000
   0.073250,  -1.360000
   0.073500,  -1.360000
   0.073750,  -1.200000
   0.074000,  -0.880000
   0.074250,  -0.880000
   0.074500,  -0.560000
   0.074750,  -0.560000
   0.075000,  -0.400000
   0.075250,  -0.120000
   0.075500,  -0.120000
   0.075750,   0.160000
   0.076000,   0.160000
   0.076250,   0.280000
   0.076500,   0.520000
   0.076750,   0.520000
   0.077000,   0.760000
   0.077250,   0.760000
   0.077500,   0.840000
   0.077750,   1.040000
   0.078000,   1.040000
   0.078250,   1.200000
   0.078500,   1.200000
   0.078750,   1.240000
   0.079000,   1.320000
   0.079250,   1.320000
   0.079500,   1.360000
   0.079750,   1.360000
   0.080000,   1.400000
   0.080250,   1.400000
   0.080500,   1.400000
   0.080750,   1.360000
   0.081000,   1.360000
   0.081250,   1.280000
   0.081500,   1.200000
   0.081750,   1.200000
   0.082000,   1.080000
   0.082250,   1.080000
   0.082500,   0.960000
   0.082750,   0.760000
   0.083000,   0.760000
   0.083250,   0.560000
   0.083500,   0.560000
   0.083750,   0.440000
   0.084000,   0.200000
   0.084250,   0.200000
   0.084500,  -0.080000
   0.084750,  -0.080000
   0.085000,  -0.240000
   0.085250,  -0.520000
   0.085500,  -0.520000
   0.085750,  -0.840000
   0.086000,  -0.840000
   0.086250,  -1.040000
   0.086500,  -1.320000
   0.086750,  -1.320000
   0.087000,  -1.640000
   0.087250,  -1.640000
   0.087500,  -1.800000
   0.087750,  -2.080000
   0.088000,  -2.080000
   0.088250,  -2.360000
   0.088500,  -2.360000
   0.088750,  -2.480000
   0.089000,  -2.720000
   0.089250,  -2.720000
   0.089500,  -2.960000
   0.089750,  -2.960000
   0.090000,  -3.040000
   0.090250,  -3.240000
   0.090500,  -3.240000
   0.090750,  -3.360000
   0.091000,  -3.360000
   0.091250,  -3.440000
   0.091500,  -3.520000
   0.091750,  -3.520000
   0.092000,  -3.560000
   0.092250,  -3.560000
   0.092500,  -3.600000
   0.092750,  -3.560000
   0.093000,  -3.560000
   0.093250,  -3.520000
   0.093500,  -3.520000
   0.093750,  -3.480000
   0.094000,  -3.360000
   0.094250,  -3.360000
   0.094500,  -3.240000
   0.094750,  -3.240000
   0.095000,  -3.200000
   0.095250,  -3.000000
   0.095500,  -3.000000
   0.095750,  -2.760000
   0.096000,  -2.760000
   0.096250,  -2.640000
   0.096500,  -2.400000
   0.096750,  -2.400000
   0.097000,  -2.120000
   0.097250,  -2.120000
   0.097500,  -1.960000
   0.097750,  -1.640000
   0.098000,  -1.640000
   0.098250,  -1.360000
   0.098500,  -1.360000
   0.098750,  -1.200000
   0.099000,  -0.880000
   0.099250,  -0.880000
   0.099500,  -0.560000
   0.099750,  -0.560000
   0.100000,  -0.440000
   0.100250,  -0.120000
   0.100500,  -0.120000
   0.100750,   0.160000
   0.101000,   0.160000
   0.101250,   0.280000
   0.101500,   0.560000
   0.101750,   0.560000
   0.102000,   0.760000
   0.102250,   0.760000
   0.102500,   0.840000
   0.102750,   1.040000
   0.103000,   1.040000
   0.103250,   1.200000
   0.103500,   1.200000
   0.103750,   1.240000
   0.104000,   1.320000
   0.104250,   1.320000
   0.104500,   1.400000
   0.104750,   1.400000
   0.105000,   1.400000
   0.105250,   1.400000
   0.105500,   1.400000
   0.105750,   1.360000
   0.106000,   1.360000
   0.106250,   1.320000
   0.106500,   1.200000
   0.106750,   1.200000
   0.107000,   1.040000
   0.107250,   1.040000
   0.107500,   0.960000
   0.107750,   0.800000
   0.108000,   0.800000
   0.108250,   0.560000
   0.108500,   0.560000
   0.108750,   0.440000
   0.109000,   0.200000
   0.109250,   0.200000
   0.109500,  -0.080000
   0.109750,  -0.080000
   0.110000,  -0.240000
   0.110250,  -0.560000
   0.110500,  -0.560000
   0.110750,  -0.840000
   0.111000,  -0.840000
   0.111250,  -1.000000
   0.111500,  -1.320000
   0.111750,  -1.320000
   0.112000,  -1.640000
   0.112250,  -1.640000
   0.112500,  -1.800000
   0.112750,  -2.080000
   0.113000,  -2.080000
   0.113250,  -2.360000
   0.113500,  -2.360000
   0.113750,  -2.480000
   0.114000,  -2.720000
   0.114250,  -2.720000
   0.114500,  -2.960000
   0.114750,  -2.960000
   0.115000,  -3.040000
   0.115250,  -3.240000
   0.115500,  -3.240000
   0.115750,  -3.360000
   0.116000,  -3.360000
   0.116250,  -3.440000
   0.116500,  -3.520000
   0.116750,  -3.520000
   0.117000,  -3.560000
   0.117250,  -3.560000
   0.117500,  -3.600000
   0.117750,  -3.600000
   0.118000,  -3.600000
   0.118250,  -3.520000
   0.118500,  -3.520000
   0.118750,  -3.480000
   0.119000,  -3.400000
   0.119250,  -3.400000
   0.119500,  -3.240000
   0.119750,  -3.240000
   0.120000,  -3.160000
   0.120250,  -2.960000
   0.120500,  -2.960000
   0.120750,  -2.760000
   0.121000,  -2.760000
   0.121250,  -2.640000
   0.121500,  -2.400000
   0.121750,  -2.400000
   0.122000,  -2.080000
   0.122250,  -2.080000
   0.122500,  -1.960000
   0.122750,  -1.680000
   0.123000,  -1.680000
   0.123250,  -1.360000
   0.123500,  -1.360000
   0.123750,  -1.200000
   0.124000,  -0.880000
   0.124250,  -0.880000
   0.124500,  -0.560000
   0.124750,  -0.560000
   0.125000,  -0.440000
   0.125250,  -0.120000
   0.125500,  -0.120000
   0.125750,   0.160000
   0.126000,   0.160000
   0.126250,   0.280000
   0.126500,   0.520000
   0.126750,   0.520000
   0.127000,   0.760000
   0.127250,   0.760000
   0.127500,   0.880000
   0.127750,   1.040000
   0.128000,   1.040000
   0.128250,   1.200000
   0.128500,   1.200000
   0.128750,   1.240000
   0.129000,   1.320000
   0.129250,   1.320000
   0.129500,   1.400000
   0.129750,   1.400000
   0.130000,   1.360000
   0.130250,   1.400000
   0.130500,   1.400000
   0.130750,   1.360000
   0.131000,   1.360000
   0.131250,   1.280000
   0.131500,   1.200000
   0.131750,   1.200000
   0.132000,   1.040000
   0.132250,   1.040000
   0.132500,   0.960000
   0.132750,   0.760000
   0.133000,   0.760000
   0.133250,   0.560000
   0.133500,   0.560000
   0.133750,   0.440000
   0.134000,   0.160000
   0.134250,   0.160000
   0.134500,  -0.080000
   0.134750,  -0.080000
   0.135000,  -0.240000
   0.135250,  -0.560000
   0.135500,  -0.560000
   0.135750,  -0.840000
   0.136000,  -0.840000
   0.136250,  -1.000000
   0.136500,  -1.320000
   0.136750,  -1.320000
   0.137000,  -1.640000
   0.137250,  -1.640000
   0.137500,  -1.800000
   0.137750,  -2.080000
   0.138000,  -2.080000
   0.138250,  -2.360000
   0.138500,  -2.360000
   0.138750,  -2.480000
   0.139000,  -2.720000
   0.139250,  -2.720000
   0.139500,  -2.960000
   0.139750,  -2.960000
   0.140000,  -3.080000
   0.140250,  -3.240000
   0.140500,  -3.240000
   0.140750,  -3.360000
   0.141000,  -3.360000
   0.141250,  -3.440000
   0.141500,  -3.520000
   0.141750,  -3.520000
   0.142000,  -3.560000
   0.142250,  -3.560000
   0.142500,  -3.600000
   0.142750,  -3.560000
   0.143000,  -3.560000
   0.143250,  -3.520000
   0.143500,  -3.520000
   0.143750,  -3.480000
   0.144000,  -3.400000
   0.144250,  -3.400000
   0.144500,  -3.240000
   0.144750,  -3.240000
   0.145000,  -3.160000
   0.145250,  -3.000000
   0.145500,  -3.000000
   0.145750,  -2.760000
   0.146000,  -2.760000
   0.146250,  -2.640000
   0.146500,  -2.400000
   0.146750,  -2.400000
   0.147000,  -2.120000
   0.147250,  -2.120000
   0.147500,  -1.960000
   0.147750,  -1.680000
   0.148000,  -1.680000
   0.148250,  -1.360000
   0.148500,  -1.360000
   0.148750,  -1.200000
   0.149000,  -0.880000
   0.149250,  -0.880000
   0.149500,  -0.560000
   0.149750,  -0.560000
   0.150000,  -0.440000
   0.150250,  -0.120000
   0.150500,  -0.120000
   0.150750,   0.160000
   0.151000,   0.160000
   0.151250,   0.280000
   0.151500,   0.520000
   0.151750,   0.520000
   0.152000,   0.760000
   0.152250,   0.760000
   0.152500,   0.840000
   0.152750,   1.040000
   0.153000,   1.040000
   0.153250,   1.200000
   0.153500,   1.200000
   0.153750,   1.240000
   0.154000,   1.320000
   0.154250,   1.320000
   0.154500,   1.400000
   0.154750,   1.400000
   0.155000,   1.400000
   0.155250,   1.400000
   0.155500,   1.400000
   0.155750,   1.360000
   0.156000,   1.360000
   0.156250,   1.320000
   0.156500,   1.200000
   0.156750,   1.200000
   0.157000,   1.080000
   0.157250,   1.080000
   0.157500,   0.960000
   0.157750,   0.760000
   0.158000,   0.760000
   0.158250,   0.560000
   0.158500,   0.560000
   0.158750,   0.440000
   0.159000,   0.200000
   0.159250,   0.200000
   0.159500,  -0.080000
   0.159750,  -0.080000
   0.160000,  -0.240000
   0.160250,  -0.520000
   0.160500,  -0.520000
   0.160750,  -0.840000
   0.161000,  -0.840000
   0.161250,  -1.000000
   0.161500,  -1.320000
   0.161750,  -1.320000
   0.162000,  -1.640000
   0.162250,  -1.640000
   0.162500,  -1.800000
   0.162750,  -2.080000
   0.163000,  -2.080000
   0.163250,  -2.360000
   0.163500,  -2.360000
   0.163750,  -2.480000
   0.164000,  -2.720000
   0.164250,  -2.720000
   0.164500,  -2.960000
   0.164750,  -2.960000
   0.165000,  -3.080000
   0.165250,  -3.240000
   0.165500,  -3.240000
   0.165750,  -3.360000
   0.166000,  -3.360000
   0.166250,  -3.440000
   0.166500,  -3.520000
   0.166750,  -3.520000
   0.167000,  -3.560000
   0.167250,  -3.560000
   0.167500,  -3.600000
   0.167750,  -3.560000
   0.168000,  -3.560000
   0.168250,  -3.520000
   0.168500,  -3.520000
   0.168750,  -3.520000
   0.169000,  -3.400000
   0.169250,  -3.400000
   0.169500,  -3.240000
   0.169750,  -3.240000
   0.170000,  -3.200000
   0.170250,  -3.000000
   0.170500,  -3.000000
   0.170750,  -2.760000
   0.171000,  -2.760000
   0.171250,  -2.640000
   0.171500,  -2.400000
   0.171750,  -2.400000
   0.172000,  -2.080000
   0.172250,  -2.080000
   0.172500,  -1.960000
   0.172750,  -1.640000
   0.173000,  -1.640000
   0.173250,  -1.360000
   0.173500,  -1.360000
   0.173750,  -1.200000
   0.174000,  -0.880000
   0.174250,  -0.880000
   0.174500,  -0.560000
   0.174750,  -0.560000
   0.175000,  -0.400000
   0.175250,  -0.120000
   0.175500,  -0.120000
   0.175750,   0.160000
   0.176000,   0.160000
   0.176250,   0.320000
   0.176500,   0.560000
   0.176750,   0.560000
   0.177000,   0.760000
   0.177250,   0.760000
   0.177500,   0.840000
   0.177750,   1.040000
   0.178000,   1.040000
   0.178250,   1.200000
   0.178500,   1.200000
   0.178750,   1.240000
   0.179000,   1.320000
   0.179250,   1.320000
   0.179500,   1.400000
   0.179750,   1.400000
   0.180000,   1.400000
   0.180250,   1.400000
   0.180500,   1.400000
   0.180750,   1.320000
   0.181000,   1.320000
   0.181250,   1.320000
   0.181500,   1.200000
   0.181750,   1.200000
   0.182000,   1.080000
   0.182250,   1.080000
   0.182500,   0.960000
   0.182750,   0.800000
   0.183000,   0.800000
   0.183250,   0.560000
   0.183500,   0.560000
   0.183750,   0.440000
   0.184000,   0.200000
   0.184250,   0.200000
   0.184500,  -0.080000
   0.184750,  -0.080000
   0.185000,  -0.240000
   0.185250,  -0.520000
   0.185500,  -0.520000
   0.185750,  -0.840000
   0.186000,  -0.840000
   0.186250,  -1.000000
   0.186500,  -1.320000
   0.186750,  -1.320000
   0.187000,  -1.600000
   0.187250,  -1.600000
   0.187500,  -1.800000
   0.187750,  -2.080000
   0.188000,  -2.080000
   0.188250,  -2.360000
   0.188500,  -2.360000
   0.188750,  -2.480000
   0.189000,  -2.720000
   0.189250,  -2.720000
   0.189500,  -2.960000
   0.189750,  -2.960000
   0.190000,  -3.040000
   0.190250,  -3.200000
   0.190500,  -3.200000
   0.190750,  -3.360000
   0.191000,  -3.360000
   0.191250,  -3.440000
   0.191500,  -3.520000
   0.191750,  -3.520000
   0.192000,  -3.560000
   0.192250,  -3.560000
   0.192500,  -3.600000
   0.192750,  -3.560000
   0.193000,  -3.560000
   0.193250,  -3.520000
   0.193500,  -3.520000
   0.193750,  -3.480000
   0.194000,  -3.400000
   0.194250,  -3.400000
   0.194500,  -3.240000
   0.194750,  -3.240000
   0.195000,  -3.160000
   0.195250,  -3.000000
   0.195500,  -3.000000
   0.195750,  -2.760000
   0.196000,  -2.760000
   0.196250,  -2.640000
   0.196500,  -2.400000
   0.196750,  -2.400000
   0.197000,  -2.120000
   0.197250,  -2.120000
   0.197500,  -1.960000
   0.197750,  -1.680000
   0.198000,  -1.680000
   0.198250,  -1.360000
   0.198500,  -1.360000
   0.198750,  -1.200000
   0.199000,  -0.880000
   0.199250,  -0.880000
   0.199500,  -0.560000
   0.199750,  -0.560000
   0.200000,  -0.440000
   0.200250,  -0.120000
   0.200500,  -0.120000
   0.200750,   0.160000
   0.201000,   0.160000
   0.201250,   0.280000
   0.201500,   0.520000
   0.201750,   0.520000
   0.202000,   0.760000
   0.202250,   0.760000
   0.202500,   0.880000
   0.202750,   1.040000
   0.203000,   1.040000
   0.203250,   1.200000
   0.203500,   1.200000
   0.203750,   1.240000
   0.204000,   1.320000
   0.204250,   1.320000
   0.204500,   1.400000
   0.204750,   1.400000
   0.205000,   1.360000
   0.205250,   1.400000
   0.205500,   1.400000
   0.205750,   1.360000
   0.206000,   1.360000
   0.206250,   1.280000
   0.206500,   1.200000
   0.206750,   1.200000
   0.207000,   1.080000
   0.207250,   1.080000
   0.207500,   0.960000
   0.207750,   0.800000
   0.208000,   0.800000
   0.208250,   0.560000
   0.208500,   0.560000
   0.208750,   0.440000
   0.209000,   0.160000
   0.209250,   0.160000
   0.209500,  -0.080000
   0.209750,  -0.080000
   0.210000,  -0.240000
   0.210250,  -0.560000
   0.210500,  -0.560000
   0.210750,  -0.840000
   0.211000,  -0.840000
   0.211250,  -1.000000
   0.211500,  -1.320000
   0.211750,  -1.320000
   0.212000,  -1.640000
   0.212250,  -1.640000
   0.212500,  -1.800000
   0.212750,  -2.080000
   0.213000,  -2.080000
   0.213250,  -2.360000
   0.213500,  -2.360000
   0.213750,  -2.480000
   0.214000,  -2.720000
   0.214250,  -2.720000
   0.214500,  -2.960000
   0.214750,  -2.960000
   0.215000,  -3.080000
   0.215250,  -3.240000
   0.215500,  -3.240000
   0.215750,  -3.400000
   0.216000,  -3.400000
   0.216250,  -3.400000
   0.216500,  -3.520000
   0.216750,  -3.520000
   0.217000,  -3.560000
   0.217250,  -3.560000
   0.217500,  -3.600000
   0.217750,  -3.560000
