time,CH1,CH2,REF1,REF2
   0.000000,   0.320000,  -1.200000,   0.400000,  -2.200000
   0.000000,   0.400000,  -1.200000,   0.480000,  -2.200000
   0.000000,   0.400000,  -1.200000,   0.480000,  -2.200000
   0.000001,   0.400000,  -1.200000,   0.560000,  -2.200000
   0.000001,   0.400000,  -1.200000,   0.640000,  -2.000000
   0.000001,   0.480000,  -1.200000,   0.640000,  -2.000000
   0.000002,   0.480000,  -1.200000,   0.640000,  -2.000000
   0.000002,   0.560000,  -1.000000,   0.720000,  -2.000000
   0.000002,   0.560000,  -1.000000,   0.720000,  -2.000000
   0.000002,   0.560000,  -1.000000,   0.800000,  -2.000000
   0.000002,   0.560000,  -1.200000,   0.800000,  -2.000000
   0.000003,   0.640000,  -1.000000,   0.880000,  -1.800000
   0.000003,   0.640000,  -1.000000,   0.880000,  -1.800000
   0.000003,   0.640000,  -1.000000,   0.960000,  -1.800000
   0.000003,   0.640000,  -1.000000,   0.960000,  -1.800000
   0.000004,   0.720000,  -1.000000,   0.960000,  -1.800000
   0.000004,   0.720000,  -1.000000,   1.040000,  -1.800000
   0.000004,   0.720000,  -1.000000,   1.040000,  -1.800000
   0.000005,   0.720000,  -1.000000,   1.120000,  -1.800000
   0.000005,   0.800000,  -1.000000,   1.200000,  -1.600000
   0.000005,   0.800000,  -1.000000,   1.200000,  -1.600000
   0.000005,   0.800000,  -1.000000,   1.200000,  -1.600000
   0.000005,   0.800000,  -0.800000,   1.280000,  -1.600000
   0.000006,   0.880000,  -0.800000,   1.280000,  -1.600000
   0.000006,   0.880000,  -0.800000,   1.360000,  -1.600000
   0.000006,   0.880000,  -0.800000,   1.360000,  -1.600000
   0.000006,   0.960000,  -0.800000,   1.440000,  -1.600000
   0.000007,   0.960000,  -0.800000,   1.440000,  -1.600000
   0.000007,   0.960000,  -0.800000,   1.440000,  -1.600000
   0.000007,   0.960000,  -0.800000,   1.440000,  -1.400000
   0.000007,   0.960000,  -0.800000,   1.520000,  -1.400000
   0.000008,   1.040000,  -0.800000,   1.520000,  -1.400000
   0.000008,   1.040000,  -0.800000,   1.600000,  -1.400000
   0.000008,   1.040000,  -0.600000,   1.600000,  -1.400000
   0.000008,   1.040000,  -0.800000,   1.680000,  -1.400000
   0.000009,   1.120000,  -0.800000,   1.680000,  -1.200000
   0.000009,   1.120000,  -0.600000,   1.680000,  -1.200000
   0.000009,   1.120000,  -0.600000,   1.760000,  -1.400000
   0.000009,   1.120000,  -0.600000,   1.760000,  -1.200000
   0.000010,   1.120000,  -0.600000,   1.840000,  -1.200000
   0.000010,   1.120000,  -0.600000,   1.840000,  -1.200000
   0.000010,   1.200000,  -0.600000,   1.840000,  -1.200000
   0.000010,   1.200000,  -0.600000,   1.840000,  -1.200000
   0.000011,   1.200000,  -0.600000,   1.920000,  -1.200000
   0.000011,   1.200000,  -0.600000,   1.920000,  -1.200000
   0.000011,   1.280000,  -0.600000,   2.000000,  -1.200000
   0.000012,   1.280000,  -0.600000,   2.000000,  -1.000000
   0.000012,   1.280000,  -0.600000,   2.000000,  -1.000000
   0.000012,   1.280000,  -0.400000,   2.000000,  -1.000000
   0.000012,   1.280000,  -0.400000,   2.080000,  -1.000000
   0.000012,   1.360000,  -0.400000,   2.080000,  -0.800000
   0.000013,   1.360000,  -0.400000,   2.080000,  -1.000000
   0.000013,   1.360000,  -0.400000,   2.160000,  -1.000000
   0.000013,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000013,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000014,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000014,   1.360000,  -0.400000,   2.240000,  -0.800000
   0.000014,   1.360000,  -0.400000,   2.240000,  -0.800000
   0.000015,   1.360000,  -0.400000,   2.240000,  -0.600000
   0.000015,   1.360000,  -0.400000,   2.320000,  -0.800000
   0.000015,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000015,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000016,   1.440000,  -0.200000,   2.400000,  -0.600000
   0.000016,   1.440000,  -0.400000,   2.400000,  -0.600000
   0.000016,   1.440000,  -0.200000,   2.400000,  -0.600000
   0.000016,   1.440000,  -0.200000,   2.400000,  -0.600000
   0.000016,   1.440000,  -0.200000,   2.400000,  -0.600000
   0.000017,   1.520000,  -0.200000,   2.400000,  -0.600000
   0.000017,   1.520000,  -0.200000,   2.400000,  -0.400000
   0.000017,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000017,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000018,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000018,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000018,   1.520000,   0.000000,   2.480000,  -0.400000
   0.000018,   1.520000,   0.000000,   2.480000,  -0.400000
   0.000019,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000019,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000019,   1.520000,   0.000000,   2.480000,  -0.200000
   0.000019,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000020,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000020,   1.600000,   0.000000,   2.560000,  -0.200000
   0.000020,   1.600000,   0.000000,   2.560000,  -0.200000
   0.000021,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000021,   1.520000,   0.000000,   2.560000,   0.000000
   0.000021,   1.520000,   0.000000,   2.560000,   0.000000
   0.000021,   1.600000,   0.000000,   2.560000,   0.000000
   0.000021,   1.600000,   0.000000,   2.560000,   0.000000
   0.000022,   1.600000,   0.000000,   2.560000,   0.000000
   0.000022,   1.600000,   0.000000,   2.560000,   0.000000
   0.000022,   1.600000,   0.000000,   2.560000,   0.000000
   0.000022,   1.600000,   0.200000,   2.560000,   0.000000
   0.000023,   1.520000,   0.200000,   2.640000,   0.000000
   0.000023,   1.520000,   0.200000,   2.560000,   0.200000
   0.000023,   1.600000,   0.200000,   2.560000,   0.200000
   0.000023,   1.600000,   0.200000,   2.560000,   0.200000
   0.000024,   1.520000,   0.200000,   2.560000,   0.200000
   0.000024,   1.520000,   0.200000,   2.560000,   0.200000
   0.000024,   1.520000,   0.200000,   2.560000,   0.200000
   0.000024,   1.520000,   0.200000,   2.560000,   0.200000
   0.000025,   1.520000,   0.200000,   2.560000,   0.400000
   0.000025,   1.520000,   0.200000,   2.560000,   0.400000
   0.000025,   1.520000,   0.400000,   2.560000,   0.400000
   0.000025,   1.520000,   0.400000,   2.560000,   0.400000
   0.000026,   1.520000,   0.400000,   2.560000,   0.400000
   0.000026,   1.520000,   0.400000,   2.560000,   0.400000
   0.000026,   1.520000,   0.400000,   2.560000,   0.400000
   0.000027,   1.520000,   0.400000,   2.480000,   0.400000
