time,CH1,CH2
   0.000000,  -0.920000,   3.520000
   0.000250,  -0.920000,   3.520000
   0.000500,  -0.840000,   3.520000
   0.000750,  -0.760000,   3.520000
   0.001000,  -0.680000,   3.520000
   0.001250,  -0.640000,   3.520000
   0.001500,  -0.560000,   3.520000
   0.001750,  -0.480000,   3.520000
   0.002000,  -0.400000,   3.520000
   0.002250,  -0.360000,   3.520000
   0.002500,  -0.280000,   3.520000
   0.002750,  -0.200000,   3.520000
   0.003000,  -0.120000,   3.520000
   0.003250,  -0.040000,   3.520000
   0.003500,   0.040000,   3.520000
   0.003750,   0.120000,   3.520000
   0.004000,   0.160000,   3.520000
   0.004250,   0.280000,   3.520000
   0.004500,   0.320000,   3.520000
   0.004750,   0.400000,   3.520000
   0.005000,   0.480000,   3.520000
   0.005250,   0.560000,   3.520000
   0.005500,   0.640000,   3.520000
   0.005750,   0.720000,   3.520000
   0.006000,   0.760000,   3.520000
   0.006250,   0.840000,   3.520000
   0.006500,   0.920000,   3.520000
   0.006750,   0.960000,   3.520000
   0.007000,   1.040000,   3.520000
   0.007250,   1.120000,   3.520000
   0.007500,   1.200000,   3.520000
   0.007750,   1.280000,   3.520000
   0.008000,   1.320000,   3.520000
   0.008250,   1.400000,   3.520000
   0.008500,   1.480000,   3.520000
   0.008750,   1.520000,   3.520000
   0.009000,   1.600000,   3.520000
   0.009250,   1.680000,   3.520000
   0.009500,   1.720000,   3.520000
   0.009750,   1.760000,   3.520000
   0.010000,   1.840000,   3.520000
   0.010250,   1.880000,   3.520000
   0.010500,   1.960000,   3.520000
   0.010750,   2.000000,   3.520000
   0.011000,   2.080000,   3.520000
   0.011250,   2.160000,   3.520000
   0.011500,   2.160000,   3.520000
   0.011750,   2.240000,   3.520000
   0.012000,   2.280000,   3.520000
   0.012250,   2.320000,   3.520000
   0.012500,   2.400000,   3.520000
   0.012750,   2.400000,   3.520000
   0.013000,   2.480000,   3.520000
   0.013250,   2.520000,   3.520000
   0.013500,   2.560000,   3.520000
   0.013750,   2.600000,   3.520000
   0.014000,   2.640000,   3.520000
   0.014250,   2.680000,   3.520000
   0.014500,   2.720000,   3.520000
   0.014750,   2.720000,   3.520000
   0.015000,   2.760000,   3.520000
   0.015250,   2.800000,   3.520000
   0.015500,   2.840000,   3.520000
   0.015750,   2.840000,   3.520000
   0.016000,   2.880000,   3.520000
   0.016250,   2.920000,   3.520000
   0.016500,   2.920000,   3.520000
   0.016750,   2.960000,   3.520000
   0.017000,   2.960000,   3.520000
   0.017250,   3.000000,   3.520000
   0.017500,   3.000000,   3.520000
   0.017750,   3.000000,   3.520000
   0.018000,   3.000000,   3.520000
   0.018250,   3.040000,   3.520000
   0.018500,   3.040000,   3.520000
   0.018750,   3.040000,   3.520000
   0.019000,   3.040000,   3.520000
   0.019250,   3.040000,   3.520000
   0.019500,   3.040000,   3.520000
   0.019750,   3.040000,   3.520000
   0.020000,   3.040000,   3.520000
   0.020250,   3.040000,   3.520000
   0.020500,   3.000000,   3.520000
   0.020750,   3.000000,   3.520000
   0.021000,   3.000000,   3.520000
   0.021250,   3.000000,   3.520000
   0.021500,   2.960000,   3.520000
   0.021750,   2.960000,   3.520000
   0.022000,   2.920000,   3.520000
   0.022250,   2.920000,   3.520000
   0.022500,   2.880000,   3.520000
   0.022750,   2.880000,   3.520000
   0.023000,   2.840000,   3.520000
   0.023250,   2.800000,   3.520000
   0.023500,   2.800000,   3.520000
   0.023750,   2.760000,   3.520000
   0.024000,   2.720000,   3.520000
   0.024250,   2.680000,   3.520000
   0.024500,   2.640000,   3.520000
   0.024750,   2.600000,   3.520000
   0.025000,   2.560000,   3.520000
   0.025250,   2.520000,   3.520000
