time,CH1,CH2
   0.000000,   0.160000,   3.520000
   0.000250,   0.240000,   3.520000
   0.000500,   0.320000,   3.520000
   0.000750,   0.400000,   3.520000
   0.001000,   0.480000,   3.520000
   0.001250,   0.560000,   3.520000
   0.001500,   0.640000,   3.520000
   0.001750,   0.680000,   3.520000
   0.002000,   0.760000,   3.520000
   0.002250,   0.800000,   3.520000
   0.002500,   0.880000,   3.520000
   0.002750,   0.960000,   3.520000
   0.003000,   1.040000,   3.520000
   0.003250,   1.120000,   3.520000
   0.003500,   1.200000,   3.520000
   0.003750,   1.280000,   3.520000
   0.004000,   1.320000,   3.520000
   0.004250,   1.400000,   3.520000
   0.004500,   1.480000,   3.520000
   0.004750,   1.520000,   3.520000
   0.005000,   1.600000,   3.520000
   0.005250,   1.640000,   3.520000
   0.005500,   1.680000,   3.520000
   0.005750,   1.760000,   3.520000
   0.006000,   1.840000,   3.520000
   0.006250,   1.880000,   3.520000
   0.006500,   1.960000,   3.520000
   0.006750,   2.000000,   3.520000
   0.007000,   2.080000,   3.520000
   0.007250,   2.120000,   3.520000
   0.007500,   2.160000,   3.520000
   0.007750,   2.240000,   3.520000
   0.008000,   2.280000,   3.520000
   0.008250,   2.320000,   3.520000
   0.008500,   2.360000,   3.520000
   0.008750,   2.400000,   3.520000
   0.009000,   2.440000,   3.520000
   0.009250,   2.480000,   3.520000
   0.009500,   2.560000,   3.520000
   0.009750,   2.600000,   3.520000
   0.010000,   2.600000,   3.520000
   0.010250,   2.640000,   3.520000
   0.010500,   2.680000,   3.520000
   0.010750,   2.720000,   3.520000
   0.011000,   2.760000,   3.520000
   0.011250,   2.800000,   3.520000
   0.011500,   2.840000,   3.520000
   0.011750,   2.840000,   3.520000
   0.012000,   2.880000,   3.520000
   0.012250,   2.920000,   3.520000
   0.012500,   2.920000,   3.520000
   0.012750,   2.960000,   3.520000
   0.013000,   2.960000,   3.520000
   0.013250,   2.960000,   3.520000
   0.013500,   3.000000,   3.520000
   0.013750,   3.000000,   3.520000
   0.014000,   3.000000,   3.520000
   0.014250,   3.000000,   3.520000
   0.014500,   3.040000,   3.520000
   0.014750,   3.040000,   3.520000
   0.015000,   3.040000,   3.520000
   0.015250,   3.040000,   3.520000
   0.015500,   3.040000,   3.520000
   0.015750,   3.040000,   3.520000
   0.016000,   3.040000,   3.520000
   0.016250,   3.040000,   3.520000
   0.016500,   3.000000,   3.520000
   0.016750,   3.000000,   3.520000
   0.017000,   3.000000,   3.520000
   0.017250,   3.000000,   3.520000
   0.017500,   2.960000,   3.520000
   0.017750,   2.960000,   3.520000
   0.018000,   2.920000,   3.520000
   0.018250,   2.920000,   3.520000
   0.018500,   2.880000,   3.520000
   0.018750,   2.840000,   3.520000
   0.019000,   2.840000,   3.520000
   0.019250,   2.800000,   3.520000
   0.019500,   2.800000,   3.520000
   0.019750,   2.760000,   3.520000
   0.020000,   2.720000,   3.520000
   0.020250,   2.680000,   3.520000
   0.020500,   2.680000,   3.520000
   0.020750,   2.600000,   3.520000
   0.021000,   2.560000,   3.520000
   0.021250,   2.520000,   3.520000
   0.021500,   2.480000,   3.520000
   0.021750,   2.440000,   3.520000
   0.022000,   2.400000,   3.520000
   0.022250,   2.360000,   3.520000
   0.022500,   2.320000,   3.520000
   0.022750,   2.280000,   3.520000
   0.023000,   2.240000,   3.520000
   0.023250,   2.160000,   3.520000
   0.023500,   2.120000,   3.520000
   0.023750,   2.080000,   3.520000
   0.024000,   2.000000,   3.520000
   0.024250,   1.960000,   3.520000
   0.024500,   1.840000,   3.520000
   0.024750,   1.800000,   3.520000
   0.025000,   1.760000,   3.520000
   0.025250,   1.680000,   3.520000
   0.025500,   1.640000,   3.520000
   0.025750,   1.560000,   3.520000
   0.026000,   1.520000,   3.520000
   0.026250,   1.440000,   3.520000
   0.026500,   1.360000,   3.520000
   0.026750,   1.320000,   3.520000
   0.027000,   1.240000,   3.520000
   0.027250,   1.160000,   3.520000
   0.027500,   1.080000,   3.520000
   0.027750,   1.040000,   3.520000
   0.028000,   0.960000,   3.520000
   0.028250,   0.880000,   3.520000
   0.028500,   0.800000,   3.520000
   0.028750,   0.720000,   3.520000
   0.029000,   0.680000,   3.520000
   0.029250,   0.600000,   3.520000
   0.029500,   0.520000,   3.520000
   0.029750,   0.440000,   3.520000
   0.030000,   0.360000,   3.520000
   0.030250,   0.320000,   3.520000
   0.030500,   0.240000,   3.520000
   0.030750,   0.160000,   3.520000
   0.031000,   0.080000,   3.520000
   0.031250,   0.040000,   3.520000
   0.031500,  -0.080000,   3.520000
   0.031750,  -0.160000,   3.520000
   0.032000,  -0.240000,   3.520000
   0.032250,  -0.280000,   3.520000
   0.032500,  -0.360000,   3.520000
   0.032750,  -0.440000,   3.520000
   0.033000,  -0.520000,   3.520000
   0.033250,  -0.600000,   3.520000
   0.033500,  -0.640000,   3.520000
   0.033750,  -0.720000,   3.520000
   0.034000,  -0.760000,   3.520000
   0.034250,  -0.840000,   3.520000
   0.034500,  -0.920000,   3.520000
   0.034750,  -1.000000,   3.520000
   0.035000,  -1.040000,   3.520000
   0.035250,  -1.120000,   3.520000
   0.035500,  -1.200000,   3.520000
   0.035750,  -1.280000,   3.520000
   0.036000,  -1.320000,   3.520000
   0.036250,  -1.400000,   3.520000
   0.036500,  -1.480000,   3.520000
   0.036750,  -1.520000,   3.520000
   0.037000,  -1.560000,   3.520000
   0.037250,  -1.640000,   3.520000
   0.037500,  -1.680000,   3.520000
   0.037750,  -1.760000,   3.520000
   0.038000,  -1.800000,   3.520000
   0.038250,  -1.880000,   3.520000
   0.038500,  -1.920000,   3.520000
   0.038750,  -2.000000,   3.520000
   0.039000,  -2.040000,   3.520000
   0.039250,  -2.080000,   3.520000
   0.039500,  -2.160000,   3.520000
   0.039750,  -2.200000,   3.520000
   0.040000,  -2.240000,   3.520000
   0.040250,  -2.280000,   3.520000
   0.040500,  -2.320000,   3.520000
   0.040750,  -2.360000,   3.520000
   0.041000,  -2.400000,   3.520000
   0.041250,  -2.440000,   3.520000
   0.041500,  -2.480000,   3.520000
   0.041750,  -2.520000,   3.520000
   0.042000,  -2.560000,   3.520000
   0.042250,  -2.600000,   3.520000
   0.042500,  -2.640000,   3.520000
   0.042750,  -2.640000,   3.520000
   0.043000,  -2.680000,   3.520000
   0.043250,  -2.720000,   3.520000
   0.043500,  -2.720000,   3.520000
   0.043750,  -2.760000,   3.520000
   0.044000,  -2.760000,   3.520000
   0.044250,  -2.800000,   3.520000
   0.044500,  -2.800000,   3.520000
   0.044750,  -2.800000,   3.520000
   0.045000,  -2.840000,   3.520000
   0.045250,  -2.840000,   3.520000
   0.045500,  -2.840000,   3.520000
   0.045750,  -2.880000,   3.520000
   0.046000,  -2.880000,   3.520000
   0.046250,  -2.880000,   3.520000
   0.046500,  -2.880000,   3.520000
   0.046750,  -2.880000,   3.520000
   0.047000,  -2.880000,   3.520000
   0.047250,  -2.880000,   3.520000
   0.047500,  -2.880000,   3.520000
   0.047750,  -2.880000,   3.520000
   0.048000,  -2.880000,   3.520000
   0.048250,  -2.840000,   3.520000
   0.048500,  -2.840000,   3.520000
   0.048750,  -2.840000,   3.520000
   0.049000,  -2.800000,   3.520000
   0.049250,  -2.800000,   3.520000
   0.049500,  -2.800000,   3.520000
